date,gvkey,weight
2026-03-01,MMM,0.00392156862745098
2026-03-01,GWW,0.00392156862745098
2026-03-01,FER,0.00392156862745098
2026-03-01,HEI-A,0.00392156862745098
2026-03-01,AIG,0.00392156862745098
2026-03-01,DE,0.00392156862745098
2026-03-01,FITB,0.00392156862745098
2026-03-01,MA,0.00392156862745098
2026-03-01,CME,0.00392156862745098
2026-03-01,AON,0.00392156862745098
2026-03-01,HBAN,0.00392156862745098
2026-03-01,IX,0.00392156862745098
2026-03-01,DOV,0.00392156862745098
2026-03-01,MS,0.00392156862745098
2026-03-01,ACGL,0.00392156862745098
2026-03-01,CUK,0.00392156862745098
2026-03-01,ETN,0.00392156862745098
2026-03-01,BSBR,0.00392156862745098
2026-03-01,BN,0.00392156862745098
2026-03-01,CASY,0.00392156862745098
2026-03-01,CPNG,0.00392156862745098
2026-03-01,HIG,0.00392156862745098
2026-03-01,EMR,0.00392156862745098
2026-03-01,CPRT,0.00392156862745098
2026-03-01,IBN,0.00392156862745098
2026-03-01,JPM,0.00392156862745098
2026-03-01,CCL,0.00392156862745098
2026-03-01,CMG,0.00392156862745098
2026-03-01,EXPE,0.00392156862745098
2026-03-01,DHI,0.00392156862745098
2026-03-01,CB,0.00392156862745098
2026-03-01,CP,0.00392156862745098
2026-03-01,HUBB,0.00392156862745098
2026-03-01,BCS,0.00392156862745098
2026-03-01,MRSH,0.00392156862745098
2026-03-01,COIN,0.00392156862745098
2026-03-01,ALL,0.00392156862745098
2026-03-01,EBAY,0.00392156862745098
2026-03-01,HLT,0.00392156862745098
2026-03-01,BRK-B,0.00392156862745098
2026-03-01,MCO,0.00392156862745098
2026-03-01,AMP,0.00392156862745098
2026-03-01,FDX,0.00392156862745098
2026-03-01,COF,0.00392156862745098
2026-03-01,LOW,0.00392156862745098
2026-03-01,CMI,0.00392156862745098
2026-03-01,GE,0.00392156862745098
2026-03-01,MSCI,0.00392156862745098
2026-03-01,AJG,0.00392156862745098
2026-03-01,GD,0.00392156862745098
2026-03-01,BKNG,0.00392156862745098
2026-03-01,CAT,0.00392156862745098
